Station.Code,DateTimeStamp,F_Record,Temp,F_Temp,SpCond,F_SpCond,Sal,F_Sal,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,Depth,F_Depth,pH,F_pH,Turb,F_Turb
sfbrbwq,1/2/20 4:45, ,11.9,0,43.24,0,27.8,0,90,0,8.2,0,2.3,0,7.9,0,5,0
sfbrbwq,1/2/20 5:00, ,11.9,0,43.24,0,27.8,0,89.5,0,8.1,0,2.29,0,7.9,0,4,0
sfbrbwq,1/2/20 5:15, ,11.9,0,43.23,0,27.8,0,89.4,0,8.1,0,2.35,0,7.9,0,6,0
sfbrbwq,1/2/20 5:30, ,11.9,0,43.29,0,27.8,0,89.7,0,8.1,0,2.33,0,7.9,0,5,0
sfbrbwq,1/2/20 5:45, ,11.9,0,43.29,0,27.8,0,89.8,0,8.1,0,2.27,0,7.9,0,5,0
sfbrbwq,1/2/20 6:00, ,11.9,0,43.26,0,27.8,0,89.5,0,8.1,0,2.28,0,7.9,0,5,0
sfbrbwq,1/2/20 6:15, ,11.9,0,43.27,0,27.8,0,89.6,0,8.1,0,2.32,0,7.9,0,5,0
sfbrbwq,1/2/20 6:30, ,11.9,0,43.29,0,27.8,0,88.7,0,8.1,0,2.26,0,7.9,0,5,0
sfbrbwq,1/2/20 6:45, ,11.9,0,43.23,0,27.8,0,89.5,0,8.1,0,2.25,0,7.9,0,5,0
sfbrbwq,1/2/20 7:00, ,11.9,0,43.19,0,27.8,0,89.4,0,8.1,0,2.16,0,7.9,0,5,0
sfbrbwq,1/2/20 7:15, ,11.9,0,43.17,0,27.7,0,88.9,0,8.1,0,2.11,0,7.9,0,7,0
sfbrbwq,1/2/20 7:30, ,11.9,0,43.18,0,27.7,0,88.4,0,8,0,2.09,0,7.9,0,5,0
sfbrbwq,1/2/20 7:45, ,11.9,0,43.19,0,27.8,0,88.7,0,8.1,0,2.05,0,7.9,0,6,0
sfbrbwq,1/2/20 8:00, ,11.9,0,43.22,0,27.8,0,88.5,0,8,0,2,0,7.9,0,6,0
sfbrbwq,1/2/20 8:15, ,11.8,0,43.19,0,27.8,0,89.1,0,8.1,0,1.97,0,7.9,0,6,0
sfbrbwq,1/2/20 8:30, ,11.8,0,43.2,0,27.8,0,89.2,0,8.1,0,1.92,0,7.9,0,6,0
sfbrbwq,1/2/20 8:45, ,11.8,0,43.19,0,27.8,0,89,0,8.1,0,1.85,0,7.9,0,6,0
